date,source,story,issue_title,url,topics,snippet,pediatric_terms,ai_terms,radiology_terms
2025-10-08,The Imaging Wire,Reducing CT Radiation Dose System-Wide,"Reducing CT Radiation, Replacing Your MRI, and Lung Nodule CT",https://theimagingwire.com/newsletter/reducing-ct-radiation-dose/,CT dose / reconstruction; cancer / oncology; cardiac / echo,"…rsial, but most established models connect low-level radiation to cancer formation.  The debate heated up this year with a September study linking radiation to pediatric blood cancers , following research in April claiming CT radiation would account for 5% of all cancers in the U.S. in a year at current dose levels.   There are…",pediatric,algorithm,ct; imaging; radiolog; scanner
2025-10-01,The Imaging Wire,The Wire · Carebot Expands AI Portfolio:,"Emergency CT Booms, Rad Attrition, and Foundation AI Breakthrough",https://theimagingwire.com/newsletter/emergency-ct-use-booms/,bone age / skeletal maturity; fracture / trauma / abuse; chest / pneumonia,"…es the company’s flagship Carebot AI CXR algorithm for analyzing chest X-rays, but also includes applications for head CT and lung CT, bone fracture detection, bone age assessment, and skeletal measurement. The move reflects the recent trend of AI developers expanding from single-application point solutions into broader portfo…",bone age,ai; algorithm,ct; x-ray
2025-08-27,The Imaging Wire,The Wire · Sonio Launches New Maternal-Fetal AI Options:,"Cardiac CT’s PROMISE, Faster Reports, and Gadoquatrane NDA",https://theimagingwire.com/newsletter/cardiac-cts-long-term-promise/,fetal / neonatal brain MRI; funding / business,"Sonio Launches New Maternal-Fetal AI Options: Sonio has segmented its flagship AI software for maternal-fetal medicine (also called Sonio) to create new price points. Sonio Start, Sonio Plus, S…",fetal,ai,
2025-08-13,The Imaging Wire,AI-Assisted Fracture Detection,"Unpacking Heartflow’s IPO, Workforce Shortage, and NM Training",https://theimagingwire.com/newsletter/lessons-from-heartflows-ipo/,fracture / trauma / abuse,AI-Assisted Fracture Detection  Gleamer’s BoneView AI solution helped radiologists detect fractures on radiographs of both adults and children in a meta-analysis of eight studies. Discover how it can help your practice today .,child,ai; ai-,radiograph; radiolog
2025-08-03,The Imaging Wire,Radiologist Pay Jumps Nearly 8% in New Survey,"Radiologist Pay Jumps, Cybersecurity Focus, and 6 AI Barriers",https://theimagingwire.com/newsletter/radiologist-pay-jumps/,,"…s list of highest-compensated specialties in 2024, slipping a couple positions compared to the 9th spot in last year’s survey.   Moving ahead of radiology were pediatric (general) surgery and interventional radiology, two new physician categories added with this year’s survey.  Overall, the Doximity report found that physician…",pediatric,ai,radiolog
2025-07-10,RSNA News,How Is AI Being Used in Daily Neuroradiology Practice?,How Is AI Being Used in Daily Neuroradiology Practice?,https://www.rsna.org/news/2025/july/ai-in-daily-neuroradiology-practice,fracture / trauma / abuse; CT dose / reconstruction; cancer / oncology; regulatory / FDA clearance; LLMs / report generation; funding / business,"…diology, only about 126 FDA-cleared products exist, and few of them relate to brain tumor imaging,” said Mariam S. Aboian, MD, PhD, an attending radiologist at Children’s Hospital of Philadelphia.  As Dr. Aboian noted, one possible area where AI tools could be helpful is volumetrics, measuring whole tumor volume and assessi…",child,ai; algorithm; computer-aided; deep learning; generative; gpt-; large language model; llms,ct; imaging; radiolog
2025-07-03,The Imaging Wire,The Wire · DeepEcho Gets FDA Nod for Fetal AI:,"Top 6 Radiology Trends, Cardiac MRI and Pollution, and RP’s Refi",https://theimagingwire.com/newsletter/top-6-radiology-trends-cardiac-mri-and-pollution/,fetal / neonatal brain MRI; appendicitis / abdomen / ultrasound; regulatory / FDA clearance,DeepEcho Gets FDA Nod for Fetal AI: DeepEcho received FDA 510(k) clearance to market its AI software for analyzing fetal ultrasound scans . DeepEcho is indicated for use as a concurrent readi…,fetal,ai,ultrasound
2025-06-01,The Imaging Wire,The Wire · BrightHeart’s 3rd FDA Clearance:,"CT and Radiation, Cancer Survival, and Private Practice Decline",https://theimagingwire.com/newsletter/ct-use-and-radiation-exposure/,fetal / neonatal brain MRI; appendicitis / abdomen / ultrasound; regulatory / FDA clearance,"…d FDA Clearance: Notching BrightHeart’s third FDA clearance in less than a year, the FDA granted 510(k) clearance for its B-Right Views software for automating fetal heart ultrasound. B-Right Views uses AI to automatically detect the standard views for second- and third-trimester fetal heart ultrasound. This allows clinicia…",fetal,ai,sonograph; ultrasound
2025-05-20,RSNA News,Radiologists Share Tips to Prevent AI Bias,Radiologists Share Tips to Prevent AI Bias,https://www.rsna.org/news/2025/may/tips-to-prevent-ai-bias,chest / pneumonia; funding / business,"…d lead author Paul H. Yi, MD, associate member (associate professor) in the Department of Radiology and director of Intelligent Imaging Informatics at St. Jude Children’s Research Hospital in Memphis, TN. “However, AI algorithms can sometimes exhibit biases, unintentionally disadvantaging certain groups based on age, sex or…",child,ai; algorithm; deep learning; machine learning,imaging; radiograph; radiolog; x-ray
2025-05-18,The Imaging Wire,The Wire · New GE Clearances:,"Imaging Workload Jumps, AI Trust Gap, and Hinton’s Mea Culpa",https://theimagingwire.com/newsletter/imaging-workload-jumps/,CT dose / reconstruction; cardiac / echo; appendicitis / abdomen / ultrasound; regulatory / FDA clearance; funding / business,"…erventional radiology system. The solution removes streak artifacts caused by arterial blood flow during CBCT acquisitions. Separately, GE got FDA approval for pediatric echocardiography indications with its Optison ultrasound contrast agent.",pediatric,ai; ai-; algorithm,ct; radiolog; ultrasound
2025-05-14,The Imaging Wire,The Wire · Philips Partners with NVIDIA on AI for MRI:,"MRI in Paradise, Black Lung Screening Restored, and LLM Cyberthreats",https://theimagingwire.com/newsletter/industry-news-from-ismrm-2025/,chest / pneumonia; regulatory / FDA clearance,"…ges and adjust quality and speed parameters. In other Philips ISMRM news, the company extended its partnership with Polarean for xenon lung function imaging to children as young as six (pending FDA clearance).",child,ai,imaging; mri; radiolog
2025-04-13,The Imaging Wire,The Wire · GE’s Cincinnati Pediatric Partnership:,"Getting Paid for AI, Screening MRI, and Radiology’s Top 40",https://theimagingwire.com/newsletter/getting-paid-for-ai/,appendicitis / abdomen / ultrasound,GE’s Cincinnati Pediatric Partnership: GE HealthCare partnered with Cincinnati Children’s Hospital on a research collaboration to advance pediatric imaging across multiple modalities. T…,child; pediatric,ai; algorithm,imaging; mri; pet; ultrasound
2025-04-02,The Imaging Wire,The Wire · AZmed Gets New Chest AI Clearances:,Who’s Reading Office-Based Images? | Surge Staffing,https://theimagingwire.com/newsletter/in-office-image-reading/,fracture / trauma / abuse; chest / pneumonia; regulatory / FDA clearance,"…e” brand to cover its entire product portfolio and renaming specific clinical applications as AZchest and AZtrauma, which was cleared for fracture detection in kids in 2024 and in adults in 2022 .",kids,ai; ai-,radiograph; radiolog; x-ray
2025-03-04,TLDR AI,AI to diagnose invisible brain abnormalities in children with epilepsy (4 minute read),TLDR AI 2025-03-04,https://tldr.tech/ai/2025-03-04,,"AI to diagnose invisible brain abnormalities in children with epilepsy (4 minute read)  MELD Graph, an AI tool developed by researchers at King's College London and UCL, detects 64% of epilepsy-linked brain abnorm…",child,ai,radiolog
2025-02-27,The Imaging Wire,The Wire · AI Detects Pediatric Epilepsy:,Highlights from ECR 2025 | FDA Staff Re-Hired,https://theimagingwire.com/newsletter/highlights-from-ecr-2025/,fetal / neonatal brain MRI,"AI Detects Pediatric Epilepsy: In a new paper in JAMA Neurology , U.K. researchers developed a homegrown AI algorithm called MELD Graph to detect signs of epilepsy on pediatric bra…",pediatric,ai; algorithm,mri; radiolog
2025-02-14,ESR / ECR,Learn more about FUJIFILM’s latest innovations at ECR!,Changing Mindsets for Patients and the Planet,https://www.myesr.org/changing-mindsets-for-patients-and-the-planet/,cancer / oncology,"…QUALITY  Learn about how reducing anxiety in the diagnostic process can make a huge difference to MRI patient wellbeing and to imaging results, especially with paediatric patients and those with claustrophobia.  “Claustrophobia is estimated to occur in 2.1 to 14.3% of all MRI examinations” 1   “3-4 in every 100 patients suffer f…",paediatric,ai; ai-,imaging; mri; radiolog; scanner; x-ray
2025-02-06,ESR / ECR,"Philips at #ECR2025: New AI-enabled systems, intelligent software, and imaging cloud services streamline radiology workflows, advance clinical insights","Philips at #ECR2025: New AI-enabled systems, intelligent software, and imaging cloud services streamline radiology workflows, advance clinical insights",https://www.myesr.org/philips-at-ecr2025-new-ai-enabled-systems-intelligent-software-and-imaging-cloud-services-streamline-radiology-workflows-advance-clinical-insights/,CT dose / reconstruction; cardiac / echo; appendicitis / abdomen / ultrasound; regulatory / FDA clearance; funding / business,"…ss the growing need for faster workflows and more efficient diagnostic processes. With over 100+ new image quality pre-sets for abdomen, vascular, small parts, pediatrics, and OB/GYN, both systems feature advanced automation and algorithms to deliver greater precision imaging and intuitive workflows to help boost clinical confi…",pediatric,ai; ai-; algorithm; generative,ct; imaging; mri; radiolog; scanner; ultrasound
2025-02-02,The Imaging Wire,The Wire · Ultrasound AI Detects Fetal Defects:,PE Practice Purchases Tick Up | ChatGPT Aids Reporting,https://theimagingwire.com/newsletter/pe-purchases-in-radiology/,fetal / neonatal brain MRI; cardiac / echo; appendicitis / abdomen / ultrasound; regulatory / FDA clearance,Ultrasound AI Detects Fetal Defects: BrightHeart’s AI algorithm for analyzing fetal ultrasound scans helped clinicians detect congenital heart defects. In a study presented at the Society…,fetal,ai; algorithm,ultrasound
2025-01-29,The Imaging Wire,The Wire · Samsung Launches OB/GYN Ultrasound:,Radiology VC Funding Boom? | New Ultrasound Debuts,https://theimagingwire.com/newsletter/vc-funding-booms-for-radiology-startups/,fetal / neonatal brain MRI; appendicitis / abdomen / ultrasound; funding / business,Samsung Launches OB/GYN Ultrasound: Samsung Medison launched a new premium OB/GYN ultrasound scanner for the U.S. at this week’s Society for Maternal-Fetal Medicine meeting. Samsung Z20 is an AI-powered system optimized for challenging cases like high BMI patients and includes the company’s workflow tools like Liv…,fetal; prenatal,ai; ai-,scanner; ultrasound
2025-01-08,The Imaging Wire,The Resource Wire · AI for Pediatric Fracture Detection:,Top Radiology Trends for 2025 | FDA’s AI Guidance,https://theimagingwire.com/newsletter/radiology-trends-for-2025/,fracture / trauma / abuse,"AI for Pediatric Fracture Detection: Pediatric fractures are common but can be easily missed on radiography. Meanwhile, AI tools for fracture detection have mostly been tested…",kids; pediatric,ai,radiograph
2025-01-08,The Imaging Wire,The Industry Wire · Children’s National taps Microsoft to prototype AI tools .,Top Radiology Trends for 2025 | FDA’s AI Guidance,https://theimagingwire.com/newsletter/radiology-trends-for-2025/,,Children’s National taps Microsoft to prototype AI tools .,child,ai,
2024-12-15,The Imaging Wire,The Wire · Researchers Study AI for Pediatric Fractures:,Mobile Mammography’s Value | News from SABCS 2024,https://theimagingwire.com/newsletter/mobile-mammographys-value/,fracture / trauma / abuse,Researchers Study AI for Pediatric Fractures: U.K. researchers launched a research study to test Gleamer’s BoneView AI solution for detecting pediatric fractures on X-rays. A team led by Susan S…,pediatric,ai,radiograph; radiolog; x-ray
2024-12-02,The Imaging Wire,The Wire · Milvue Joins deepc AI Platform:,Mammo AI Kicks Off RSNA 2024 | More RSNA News,https://theimagingwire.com/newsletter/mammo-ai-opens-rsna-2024/,fracture / trauma / abuse; appendicitis / abdomen / ultrasound; scoliosis / MSK,"…access to TechCare Alert for detecting fractures in the appendicular skeleton and chest; TechCare Bones & Spine for musculoskeletal measurements; and TechCare Kids, which combines pathology detection with bone measurements.",kids,ai; algorithm,x-ray
2024-11-25,The Imaging Wire,The Wire · Fetal Ultrasound AI Cleared:,How Should AI Be Monitored? | AI and Burnout,https://theimagingwire.com/newsletter/ai-post-market-monitoring/,fetal / neonatal brain MRI; cardiac / echo; appendicitis / abdomen / ultrasound; regulatory / FDA clearance,"Fetal Ultrasound AI Cleared: French software start-up BrightHeart received FDA clearance for its first AI application, for detecting congenital heart defects on feta…",fetal,ai,ultrasound
2024-11-19,RSNA News,Incorrect AI Advice Influences Diagnostic Decisions,Incorrect AI Advice Influences Diagnostic Decisions,https://www.rsna.org/news/2024/november/ai-influences-diagnostic-decisions,chest / pneumonia,"…one of the study’s senior authors, Paul H. Yi, MD, director of intelligent imaging informatics and associate member in the Department of Radiology at St. Jude Children’s Research Hospital in Memphis, TN. “However, a gap between AI proof-of-concept and its real-world clinical use has emerged. To bridge this gap, fostering a…",child,ai,imaging; radiograph; radiolog; x-ray
2024-10-17,ESR / ECR,On Artificial Intelligence: An interview with Brendan Kelly,On Artificial Intelligence: An interview with Brendan Kelly,https://www.myesr.org/ai-blog/on-artificial-intelligence-an-interview-with-brendan-kelly/,CT dose / reconstruction; funding / business,"…were extremely delighted to dive into the topic of artificial intelligence in radiology with Brendan Kelly. With a passion for AI, Kelly is currently an AI and Paediatric Radiology Fellow at Great Ormond Street Hospital for Children NHS Foundation Trust, a 2024 NDTP Dr. Richard Steevens Fellow, and an ESOR Fellow in AI and Paedi…",child; paediatric,ai; artificial intelligence; deep learning; machine learning; radiomics,ct; imaging; mri; radiolog
2024-10-10,The Imaging Wire,"Low-Dose CT in Kids | Hinton Nabs Nobel, Cancels MRI","Low-Dose CT in Kids | Hinton Nabs Nobel, Cancels MRI",https://theimagingwire.com/newsletter/low-dose-ct-in-kids-confounds-cad/,CT dose / reconstruction,"Together with  “I’m in a cheap hotel in California which doesn’t have a good internet or phone connection. I was going to have an MRI scan today but I’ll have to cancel that!”   AI pioneer and amateur prognosticator Geoffrey Hinton, PhD , on learning he was awarded the Nobel Prize for physics.   Imaging Wire Sponsors  ",kids,ai; artificial intelligence,ct; imaging; mri
2024-10-10,The Imaging Wire,Low-Dose CT Confounds CAD in Kids,"Low-Dose CT in Kids | Hinton Nabs Nobel, Cancels MRI",https://theimagingwire.com/newsletter/low-dose-ct-in-kids-confounds-cad/,chest / pneumonia; CT dose / reconstruction; cancer / oncology; funding / business,"Low-Dose CT Confounds CAD in Kids   When it comes to pediatric CT scans, clinicians should make every effort to reduce dose as much as possible. But a new study in AJR indicates that lower CT radiation dose can affect the…",child; kids; pediatric,ai; ai-; algorithm; cad; computer-aided; deep learning,ct; imaging; radiolog
2024-10-06,The Imaging Wire,The Wire · Fracture AI Improves Over Time:,AI Predicts Cancer Before It’s Detected | SABCS Boycott?,https://theimagingwire.com/newsletter/mammography-ai-predicts-cancer/,fracture / trauma / abuse,"…r multiple versions. In a study from Spain , researchers tracked the performance of three successive versions of Gleamer’s BoneView algorithm in 2.7k adult and pediatric bone trauma X-rays. The algorithm’s positive predictive value improved 24% (from 57% to 70%) while specificity increased 4.8% (86% to 90%). Negative predictive…",pediatric,ai; algorithm,x-ray
2024-10-03,ESR / ECR,On Artificial Intelligence: An interview with Susan Shelmerdine,On Artificial Intelligence: An interview with Susan Shelmerdine,https://www.myesr.org/ai-blog/on-artificial-intelligence-an-interview-with-susan-shelmerdine/,funding / business,…ificial Intelligence”. Among Shelmerdine’s many accolades are her roles as the Chairperson for the Artificial Intelligence Taskforce at the European Society of Paediatric Radiology as well as the prestigious Roentgen Professorship at The Royal College of Radiologists. Join us as we do a deep dive into Shelmerdine’s interest in A…,child; paediatric,ai; artificial intelligence; deep learning; radiomics,imaging; radiograph; radiolog
2024-09-08,The Imaging Wire,The Wire · AZmed AI Extended to Kids:,Lung Screening’s Star Turn | Questions about AI,https://theimagingwire.com/newsletter/ct-lung-cancer-screening-5/,fracture / trauma / abuse; regulatory / FDA clearance,"AZmed AI Extended to Kids: AI developer AZmed received 510(k) clearance to market its Rayvolve algorithm for fracture detection on pediatric X-rays. Rayvolve was first cleared for adults in June 2022; to support the new clearance, AZmed worked with imaging center chain SimonMed Imaging to test the a…",kids; pediatric,ai; algorithm,imaging; radiograph; x-ray
2024-09-04,The Imaging Wire,The Wire · Samsung Finalizes Sonio Acquisition:,Imaging News from ESC 2024 | Mammo Wars Flare Up,https://theimagingwire.com/newsletter/cardiac-imaging-was-a-hot-topic-at-esc-2024/,fetal / neonatal brain MRI; appendicitis / abdomen / ultrasound; regulatory / FDA clearance; funding / business,"…n May . Sonio Detect guides sonographers through prenatal scans in real time to ensure exam completeness while also supporting real-time reporting of potential fetal abnormalities; the software received FDA clearance in 2023, with an updated version cleared in April. The purchase highlights the trend of ultrasound makers bu…",fetal; prenatal,ai,imaging; sonograph; ultrasound
2024-08-25,The Imaging Wire,When Follow-Up Falls Short | Pediatric CT Use,When Follow-Up Falls Short | Pediatric CT Use,https://theimagingwire.com/newsletter/when-follow-up-falls-short/,,Together with  “I think it’s great the new generation doesn’t want to take care of the ever increasing old and sick people given how physicians have been turned to poop over the [l]ast few decades. They can triple the reimbursement to doctors if they want to get appropriate care. Otherwise have fun with your messed up ,pediatric,ai,ct; imaging; mri; radiolog; scanner
2024-08-25,The Imaging Wire,The Wire · MAUI Emerges from Stealth:,When Follow-Up Falls Short | Pediatric CT Use,https://theimagingwire.com/newsletter/when-follow-up-falls-short/,fracture / trauma / abuse; fetal / neonatal brain MRI; appendicitis / abdomen / ultrasound; regulatory / FDA clearance,"…MAUI received a $4M grant from the U.S. Department of Defense to develop the technology for trauma medicine, but it also has applications for fetal, abdominal, pediatric, small organ, and other uses.",fetal; pediatric,algorithm,ct; imaging; scanner; ultrasound
2024-08-14,The Imaging Wire,The Wire · Cardiac Ultrasound Scanner Cleared:,Two-for-One CT Screening | AI Health Registry,https://theimagingwire.com/newsletter/two-for-one-ct-screening/,cardiac / echo; appendicitis / abdomen / ultrasound; regulatory / FDA clearance,"…clearance for Acuson Origin, a cardiovascular ultrasound scanner with AI-powered features. The system is targeted at a range of cardiac applications, including pediatric, structural heart, vascular, and EP exams, and includes the company’s 2D and 4D Heart AI tools. Other echo AI features assist with tasks like automated measure…",pediatric,ai; ai-,scanner; ultrasound
2024-07-10,RSNA News,Experts Outline Considerations to Deploy AI in Radiology,Experts Outline Considerations to Deploy AI in Radiology,https://www.rsna.org/news/2024/july/deploying-ai-in-radiology,regulatory / FDA clearance; funding / business,"…ols into clinical radiology practice,” said lead author Marius George Linguraru, DPhil, Connor Family Professor and Endowed Chair of Research and Innovation at Children's National Hospital. “AI tools can play a key role in radiology, but radiologists must be able to trust in the systems’ design and receive adequate training…",child,ai; ai-; artificial intelligence; generative; machine learning,imaging; pacs; radiolog
2024-07-01,ESR / ECR,AI applications in musculoskeletal imaging,AI applications in musculoskeletal imaging,https://www.myesr.org/ai-blog/ai-applications-in-musculoskeletal-imaging/,bone age / skeletal maturity; fracture / trauma / abuse; cancer / oncology; scoliosis / MSK,"…w provides an overview of the clinical applications of AI in musculoskeletal imaging, diving into specific areas of musculoskeletal disorders including trauma, bone age estimation, bone and soft-tissue tumors, and orthopedic implant-related pathology. An important part of the application of AI products will come down to their…",bone age,ai; artificial intelligence,imaging; radiolog
2024-06-29,The Imaging Wire,The Wire · FDA Clears New Clarius Prenatal App:,Top 4 Trends from SIIM 2024 | Imaging IT Deals,https://theimagingwire.com/newsletter/top-4-trends-at-siim-2024/,fetal / neonatal brain MRI; appendicitis / abdomen / ultrasound; regulatory / FDA clearance,"…eloper Clarius Mobile Health received FDA clearance for Clarius OB AI , a new software application for OB prenatal applications. The app automatically performs fetal biometry measurements to estimate fetal age, weight, and growth intervals, and runs on the Clarius C3 HD3 wireless handheld ultrasound scanner in the US and Ca…",fetal; prenatal,ai,scanner; ultrasound
2024-05-19,The Imaging Wire,The Wire · Early Preeclampsia Risk Screening:,CT Lung Screening Progress | Brain MRI Boom?,https://theimagingwire.com/newsletter/ct-lung-screening-news-from-ats-2024/,fetal / neonatal brain MRI; appendicitis / abdomen / ultrasound,"Early Preeclampsia Risk Screening: A Fetal Medicine Foundation (FMF) screening algorithm that combines biophysical, biochemical, and ultrasound markers successfully detected preeclampsia risk in early p…",fetal; preterm,algorithm,ultrasound
2024-04-22,The Imaging Wire,The Wire · GE Launches US Scanners:,CT Changes Headache Workup | AI Reimbursement,https://theimagingwire.com/newsletter/ct-changes-headache-workup/,fetal / neonatal brain MRI; appendicitis / abdomen / ultrasound,"…include new AI tools and functionality, such as a “HeyVoluson” voice command feature and the SonoLyst suite of tools for identifying, annotating, and measuring fetal anatomy. Other features include tools for pelvic floor measurements and fibroid mapping, as well as faster fetal heart assessments. GE’s Vscan Air CL wireless…",fetal,ai,scanner; ultrasound
2024-03-20,The Imaging Wire,The Resource Wire · AI Helps Residents Detect Fractures:,Study Shows AI’s Economic Value | PocketHealth Raises $33M,https://theimagingwire.com/newsletter/radiology-ais-roi/,fracture / trauma / abuse,AI Helps Residents Detect Fractures: Gleamer’s BoneView AI algorithm helped radiology residents detect fractures on adult and pediatric radiographs. Learn more about how it worked in this research summary.,pediatric,ai; algorithm,radiograph; radiolog
