model_name,model_family,modality,body_region,patient_population,age_groups,clinical_problem,task,model_description,release_status,release_evidence,code_url,journal,year,citations,citations_per_year,rcr,fwci,nih_percentile,doi,url,title,first_author,study_design,dataset_size,data_source,validation,headline_result,pmid,record_id,source,is_preprint,confidence,overridden_fields,extractor_model,prompt_version,extracted_on
,"ResNet-50 (CNN, fine-grained classification)",x-ray / radiography,spine,"508 pairs of coronal/sagittal spinal radiographs from patients with Chiari-malformation-associated scoliosis, adolescent idiopathic scoliosis, and normal controls",adolescent; child,"Screening for scoliosis and, further, for atypical scoliosis patterns associated with Chiari Malformation type I using spinal X-rays.",detection / diagnosis,"Several ResNet-50-based fine-grained classification models (Coronal, Sagittal, Dual, Concat, Bilinear variants) take coronal and/or sagittal spine radiographs as input and output a scoliosis diagnosis and, for scoliotic cases, a classification distinguishing atypical (Chiari-malformation-associated) from typical adolescent idiopathic scoliosis; heatmaps highlight the radiographic features driving classification.",unclear,,,Global spine journal,2026,0,0.0,,,,10.1177/21925682251349999,https://doi.org/10.1177/21925682251349999,Identification of Atypical Scoliosis Patterns Using X-ray Images Based on Fine-Grained Techniques in Deep Learning.,Chen Y,retrospective diagnostic study,508 pairs of coronal and sagittal spinal radiographs,not stated,internal only,ResNet-50 Dual model reached the diagnostic level of senior spine surgeons for CMS diagnosis; ResNet-50 Coronal model surpassed senior surgeons in specificity and PPV,40500925,40500925,pubmed,False,medium,,claude-code sonnet (worklist),1,2026-09-10
,PCA-FFNN (Principal Component Analysis + Feedforward Neural Network),CT; other,cranium/skull (craniosynostosis),"153 CT scans, including 68 craniosynostosis subjects (infants)",infant,"Noninvasively predicting the Sella turcica reference point for aligning 3D cranial stereophotographs in infants with craniosynostosis, to avoid the radiation of repeated CT for cranial morphology assessment.",measurement / quantification,"A PCA-FFNN model takes 3D cranial surface models (derived from CT/stereophotography) as input and predicts the Sella turcica coordinate, used to align 3D stereophotographs within a standardized reference frame as a noninvasive alternative to CT-based cranial assessment.",unclear,,,The Journal of craniofacial surgery,2026,0,0.0,,,,10.1097/SCS.0000000000011623,https://doi.org/10.1097/SCS.0000000000011623,Automated Sella-Turcica Annotation and Mesh Alignment of 3D Stereophotographs for Craniosynostosis Patients Using a PCA-FFNN Based Approach.,Bielevelt F,retrospective model development and comparison study,"153 CT scans, including 68 craniosynostosis subjects",not stated,internal only,"PCA-FFNN achieved significantly lower Sella turcica coordinate prediction error than the conventional CCFP method (3.61 vs. 8.38 mm, P < 0.001)",40576676,40576676,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
CranioRate,machine learning (supervised Sagittal Severity Score + unsupervised Cranial Morphology Deviation),CT,skull,"195 nonsyndromic sagittal craniosynostosis, 221 nonsyndromic metopic craniosynostosis, 178 age-matched controls; 54 surgeons rated 20 patients' CT scans",infant,objectively quantifying the severity of sagittal craniosynostosis to standardize assessment and surgical planning,measurement / quantification,"CranioRate uses a supervised machine learning model (Sagittal Severity Score, trained on surgeon Likert ratings) and an unsupervised model (Cranial Morphology Deviation) on CT-derived cranial landmarks to quantify sagittal craniosynostosis severity, compared against the traditional cephalic index.",unclear,,,The Cleft palate-craniofacial journal : official publication of the American Cleft Palate-Craniofacial Association,2026,3,3.0,,,,10.1177/10556656251347366,https://doi.org/10.1177/10556656251347366,Quantifying Sagittal Craniosynostosis Severity: A Machine Learning Approach With CranioRate.,Tao W,cross-sectional model development with expert rating comparison,"195 SCS, 221 metopic CS, 178 controls; 54 surgeons rated 20 CT scans",multi center,reader study,Sagittal Severity Score significantly more accurate than cephalic index in predicting expert ratings (P<.05); Cranial Morphology Deviation correlated with SSS (Pearson 0.92),40576997,40576997,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
,elastic net regression,CT,pancreas,"140 children under 18 years of age, contrast-enhanced CT",infant; child; adolescent,Characterizing normal pancreas morphology and shape across childhood to establish reference growth patterns using CT-based 3D segmentation,measurement / quantification,"Manual 3D segmentation of the pancreas on contrast-enhanced CT is used to extract radiomic shape features; elastic net regression models predict pancreas volume and shape metrics from age, weight, height, and body surface area.",unclear,,,"Clinical anatomy (New York, N.Y.)",2026,1,1.0,,,,10.1002/ca.70003,https://doi.org/10.1002/ca.70003,Characterization of Healthy Pancreas Morphology Throughout Childhood.,Dudley JA,retrospective study,140 children (<18 years),not stated,internal only,cross-validated r2 0.71-0.89 for pancreas volume/shape metrics,40616220,40616220,pubmed,False,medium,,claude-code sonnet (worklist),1,2026-09-10
,commercially available AI fracture-detection software,x-ray / radiography,appendicular skeleton and pelvis,48 patients with osteogenesis imperfecta from a single OI clinic,child,fracture detection in children with osteogenesis imperfecta,detection / diagnosis,"A commercially available AI fracture-detection tool analyzes appendicular and pelvic radiographs from children with osteogenesis imperfecta to flag fractures; seven radiologists' accuracy was compared before and after seeing the AI output, against a consensus reference standard.",commercial,a commercially available AI tool for fracture detection,,European radiology,2026,2,2.0,,,,10.1007/s00330-025-11790-z,https://doi.org/10.1007/s00330-025-11790-z,External validation of an artificial intelligence tool for fracture detection in children with osteogenesis imperfecta: a multireader study.,Pauling C,"retrospective external validation, multireader study","336 images from 48 patients (mean age 12 years), 206 fractures",single center,reader study,"AI per-exam accuracy 74.8%, radiologists alone 83.4%, radiologists with AI 90.7%",40624375,40624375,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
,super-resolution deep learning reconstruction (SR-DLR),CT,heart,"91 pediatric patients aged 1-10 years suspected of congenital heart disease, single center",infant; child,improving intracardiac visualization on pediatric cardiac CT angiography for congenital heart disease under free-breathing conditions,reconstruction / imputation,"Super-resolution deep learning reconstruction is compared against conventional deep learning reconstruction and hybrid iterative reconstruction for pediatric cardiac CT angiography acquired under free breathing, assessed for image quality and diagnostic accuracy of congenital heart disease.",unclear,,,European radiology,2026,3,3.0,,,,10.1007/s00330-025-11800-0,https://doi.org/10.1007/s00330-025-11800-0,Super-resolution deep learning in pediatric CTA for congenital heart disease: enhancing intracardiac visualization under free-breathing conditions.,Zhou X,retrospective single-center comparative study,91 pediatric patients,single center,internal only,"SR-DLR accuracy 99.12%, sensitivity 99.07%, exceeding conventional DLR and hybrid iterative reconstruction",40670764,40670764,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
,,ultrasound,brain (CSF via fontanelle),"76 patients under 24 months with suspected meningitis, across Spain, Mozambique, and Morocco",neonate; infant,Screening for meningitis in neonates and infants using non-invasive transfontanellar ultrasound instead of lumbar puncture,detection / diagnosis,"A deep learning model classifies high-resolution transfontanellar ultrasound images of cerebrospinal fluid to predict elevated white blood cell counts (>=30 cells/mm3), screening for meningitis without lumbar puncture.",unclear,,,Pediatric research,2026,1,1.0,,,,10.1038/s41390-025-04179-7,https://doi.org/10.1038/s41390-025-04179-7,Non-invasive meningitis screening in neonates and infants: multicentre international study.,Ajanovic S,prospective multicentre international study,3782 images from 76 patients,multi center,external / multi-center,"sensitivity 94.4%, specificity 94.8%",40702208,40702208,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
,,CT; x-ray / radiography,"chest (lung, cystic fibrosis)","Children with cystic fibrosis; ten paired ULDCT/CXR image sets rated by 75 participants (25 radiologists, 50 radiographers)",child; adolescent,Comparing image quality of ultra-low-dose CT (AI-enhanced reconstruction) versus chest X-ray for monitoring lung disease in children with cystic fibrosis,reconstruction / imputation,Ultra-low-dose CT using AI-enhanced deep-learning iterative reconstruction achieves chest-X-ray-comparable radiation doses; image quality and diagnostic confidence were compared with conventional chest X-ray by radiologists and radiographers in children with cystic fibrosis.,unclear,,,European radiology,2026,1,1.0,,,,10.1007/s00330-025-11835-3,https://doi.org/10.1007/s00330-025-11835-3,Image quality in ultra-low-dose chest CT versus chest x-rays guiding paediatric cystic fibrosis care.,Moore N,prospective comparative reader study,10 paired ULDCT/CXR image sets; 75 reader participants,single center,reader study,88% of readers preferred ULDCT over CXR; VGC AUC 0.63,40711551,40711551,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
,radiomics + machine learning (decision tree with radiomics signature),MRI,"brain (whole-brain: white matter, gray matter, CSF)",223 subjects from ABIDE database (120 ASD) for training/test; independent external test of 87 participants (38 ASD) from Georgetown/Miami ASD datasets,child; adolescent,"Building an objective predictive model to identify children with autism spectrum disorder using whole-brain structural MRI radiomics, to complement subjective behavioral diagnosis",detection / diagnosis,"A radiomics-based machine learning model extracting whole-brain white matter, gray matter and CSF structural MRI features, combined with a clinical predictor (Verbal IQ) via multivariate logistic regression, with a decision-tree joint model classifying children as ASD versus non-ASD and stratifying low-/high-risk subgroups.",unclear,,,AJNR. American journal of neuroradiology,2026,0,0.0,,,,10.3174/ajnr.A8939,https://doi.org/10.3174/ajnr.A8939,Constructing a Predictive Model for Children with Autism Spectrum Disorder Based on Whole-Brain MR Radiomics: A Machine Learning Study.,Chen X,Retrospective multi-cohort model development with independent external validation using public datasets,223 ABIDE subjects (training/test) + 87 external test subjects (Georgetown/Miami),public dataset,external / multi-center,"Joint radiomics+VIQ decision-tree model AUC 0.87 (training), 0.84 (test), 0.83 (external test)",40721282,40721282,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
,XGBoost (trend analysis of trial characteristics),MRI,skeletal muscle,"85 DMD trials and non-interventional studies (2010-2022), primarily pediatric males",child; adolescent,"how MRI imaging biomarkers (fat fraction, T2 relaxation time) are used to track disease progression in Duchenne muscular dystrophy clinical trials, versus traditional ambulatory endpoints",outcome prediction,"A systematic review of 85 DMD trials characterizes the use of MRI imaging biomarkers versus functional endpoints for tracking disease progression; an XGBoost machine learning model analyzes trial-level predictors (duration, start year) of imaging biomarker adoption over time.",unclear,,,Journal of neuromuscular diseases,2026,3,3.0,,,,10.1177/22143602251360664,https://doi.org/10.1177/22143602251360664,Use of imaging biomarkers and ambulatory functional endpoints in Duchenne muscular dystrophy clinical trials: Systematic review and machine learning-driven trend analysis.,Todd M,systematic review with machine learning trend analysis,85 trials/studies,not stated,none / not stated,Only 13.3% of biologic intervention trials incorporated imaging biomarkers versus 93% using ambulatory functional endpoints; imaging biomarker studies averaged 4.5 years duration,40726385,40726385,pubmed,False,medium,,claude-code sonnet (worklist),1,2026-09-10
,InceptionV3 (CNN) with Squeeze-and-Excitation blocks,x-ray / radiography,hand and wrist,"14,048 hand-wrist radiographs from the 2017 RSNA Pediatric Bone Age Challenge open dataset",child; adolescent; infant,Automating bone age and sex assessment from hand-wrist radiographs to support clinical decision-making.,measurement / quantification; detection / diagnosis,An InceptionV3-based multi-output model with Squeeze-and-Excitation layers takes a digital hand-wrist radiograph as input and simultaneously outputs a predicted bone age and predicted sex.,unclear,,,Journal of imaging informatics in medicine,2026,0,0.0,,,,10.1007/s10278-025-01623-2,https://doi.org/10.1007/s10278-025-01623-2,A Novel Dual-Output Deep Learning Model Based on InceptionV3 for Radiographic Bone Age and Gender Assessment.,Rayed B,retrospective model development and internal test-set evaluation using a public dataset,"14,048 hand-wrist radiographs (2017 RSNA Pediatric Bone Age Challenge), 7:2:1 train/val/test split",public dataset,internal only,"Bone age: MSE ~25, MAE 3.1, ICC 0.997; sex classification: accuracy 95%, AUC 97%, Cohen's kappa 0.898",40758204,40758204,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
,,ultrasound,fetal heart,"877 examinations from 11 centers, second-trimester fetal ultrasounds",fetal,"identifying second-trimester fetal ultrasound findings suspicious for major congenital heart defects using AI-based software, to improve antenatal CHD detection",detection / diagnosis,AI-based software analyzes grayscale 2D ultrasound cine clips from second-trimester fetal echocardiographic examinations as input and outputs presence/absence/inconclusive labels for eight morphologic findings associated with severe congenital heart defects.,unclear,,,Obstetrics and gynecology,2026,5,5.0,4.39,,,10.1097/AOG.0000000000006027,https://doi.org/10.1097/AOG.0000000000006027,Artificial Intelligence for the Detection of Fetal Ultrasound Findings Concerning for Major Congenital Heart Defects.,Zelop CM,retrospective multicenter diagnostic accuracy study,877 examinations from 11 centers,multi center,external / multi-center,"Sensitivity 0.968 for severe CHD; sensitivity 0.987, specificity 0.977 for detecting any suspicious finding vs fetal cardiologists",40773751,40773751,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
DeepLabCut (DLC),markerless pose-estimation deep learning,ultrasound,fetal joints (whole body motion),"50 four-dimensional ultrasound recordings of normal singleton fetuses, 12-22 gestational weeks",fetal,Objectively and quantitatively assessing fetal motor behavior and neurodevelopment from 4D ultrasound video.,measurement / quantification,"A customized DeepLabCut model, trained on manually labeled fetal joint positions, tracks eight fetal joints across 4D ultrasound video frames to quantify joint angular velocity and movement coordination over gestational age.",unclear,,,Journal of medical ultrasonics (2001),2026,0,0.0,,,,10.1007/s10396-025-01557-w,https://doi.org/10.1007/s10396-025-01557-w,Decoding fetal motion in 4D ultrasound with DeepLabCut.,Inubashiri E,retrospective methods-validation study,50 four-dimensional ultrasound video recordings,not stated,internal only,"Model achieved a mean likelihood (tracking accuracy) score of 0.960; inter-rater ICC 0.990, intra-rater ICC 0.961 for manual labeling",40785001,40785001,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
,,ultrasound,hip,370 newborns (452 raw images),neonate,Computer-aided diagnosis of developmental dysplasia of the hip via automated ultrasound segmentation and Graf angle (alpha/beta) measurement,segmentation; measurement / quantification,"Deep learning segmentation models (U-Net, Mask R-CNN, YOLOv8, YOLOv11) segment hip ultrasound anatomy and calculate Graf alpha and beta angles for developmental dysplasia of the hip assessment, benchmarked against expert measurements.",unclear,,,Medical ultrasonography,2026,1,1.0,,,,10.11152/mu-4535,https://doi.org/10.11152/mu-4535,Computer-aided diagnosis of DDH using ultrasound: deep learning for segmentation and accurate angle measurement aligned with radiologist's clinical workflow.,Yilmaz ME,retrospective model development,452 images from 370 newborns,not stated,internal only,"YOLOv11 Dice 0.990, mAP 0.991; ICC alpha/beta 0.929/0.952 (Method-II)",40789016,40789016,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
,,MRI,brain (white matter),"400 scans (195 with ADHD), community-based pediatric cohort, ages 9-14",child; adolescent,Characterizing developmental trajectories of white matter myelination in children with ADHD compared to typically developing children,measurement / quantification,"A deep learning-based automated tractography method defines white matter tracts from diffusion-weighted MRI, from which T1-weighted/T2-weighted ratio myelin estimates are derived longitudinally in children with and without ADHD.",unclear,,,Biological psychiatry. Cognitive neuroscience and neuroimaging,2026,1,1.0,,,,10.1016/j.bpsc.2025.07.012,https://doi.org/10.1016/j.bpsc.2025.07.012,Brain Myelin in Children With Attention-Deficit/Hyperactivity Disorder: A Longitudinal T1-Weighted/T2-Weighted Ratio Study.,Dipnall LM,longitudinal cohort study,"400 scans (195 with ADHD), ages 9-14",not stated,internal only,,40789484,40789484,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
,,nuclear / PET,"whole body (neuroblastoma, PET/CT biodistribution)",169 pediatric neuroblastoma patients (20 in confirmed remission),infant; child; adolescent,Characterizing normal physiological biodistribution of [18F]MFBG PET/CT in pediatric neuroblastoma patients to distinguish normal from pathological uptake,segmentation; measurement / quantification,"Deep learning-based automatic segmentation quantifies organ uptake on [18F]MFBG PET/CT scans in pediatric neuroblastoma patients, characterizing normal physiological biodistribution patterns to aid image interpretation.",unclear,,,European journal of nuclear medicine and molecular imaging,2026,1,1.0,,,,10.1007/s00259-025-07490-x,https://doi.org/10.1007/s00259-025-07490-x,Comprehensive analysis of [18F]MFBG biodistribution normal patterns and variability in pediatric patients with neuroblastoma.,Wang P,retrospective study,169 pediatric neuroblastoma patients,not stated,internal only,,40815390,40815390,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
,,x-ray / radiography,multiple (varies by study; rib fractures excluded),"10,203 pediatric patients (mean age 8.85 years), 21,789 radiographs across 16 studies",child,Diagnostic accuracy of AI models for detecting fractures on pediatric radiographs.,detection / diagnosis,Meta-analysis of 16 diagnostic accuracy studies of AI models (including CNNs) that take pediatric radiographs as input and output fracture detection.,unclear,,,Clinical orthopaedics and related research,2026,4,4.0,,,,10.1097/CORR.0000000000003660,https://doi.org/10.1097/CORR.0000000000003660,Are Artificial Intelligence Models Reliable for Clinical Application in Pediatric Fracture Detection on Radiographs? A Systematic Review and Meta-analysis.,Ximenes GF,"systematic review and meta-analysis (PRISMA, PROSPERO registered)","10,203 patients, 21,789 radiographs (16 studies)",multi center,external / multi-center,"Pooled sensitivity 93%, specificity 91%, AUC 0.96 (external validation subset: sensitivity 93%, specificity 88%, AUC 0.95)",40839831,40839831,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
BoneView,,x-ray / radiography,upper extremity,826 pediatric patients aged 2-18 years,child; adolescent,Detecting upper extremity fractures in children presenting to the emergency department,detection / diagnosis,"The commercial AI software BoneView analyzes radiographs of the pediatric upper extremity to detect fractures, compared against reference readings by two pediatric radiologists.",commercial,AI software BoneView(R),,European radiology,2026,1,1.0,,,,10.1007/s00330-025-11947-w,https://doi.org/10.1007/s00330-025-11947-w,Diagnostic value of artificial intelligence-based software for the detection of pediatric upper extremity fractures.,Mollica F,retrospective diagnostic accuracy study,826 pediatric patients,single center,internal only,"sensitivity 89%, specificity 91% overall; wrist sens 96%/spec 94%, elbow sens 87%/spec 65%",40848140,40848140,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
